iter	Passed	Remaining
0	74	74720
1	75	37475
2	75	25054
3	75	18842
4	75	15115
5	76	12630
6	76	10855
7	76	9523
8	77	8487
9	77	7658
10	77	6980
11	77	6415
12	78	5937
13	78	5527
14	78	5172
15	79	4860
16	79	4586
17	79	4342
18	79	4124
19	80	3927
20	80	3749
21	80	3587
22	80	3440
23	81	3305
24	90	3523
25	90	3407
26	91	3301
27	92	3199
28	92	3100
29	92	3003
30	93	2912
31	93	2827
32	93	2746
33	94	2683
34	95	2620
35	95	2561
36	96	2504
37	96	2451
38	97	2399
39	97	2350
40	98	2304
41	99	2260
42	99	2220
43	100	2180
44	100	2136
45	100	2093
46	101	2052
47	101	2013
48	101	1975
49	102	1939
50	102	1904
51	102	1870
52	102	1838
53	103	1807
54	103	1777
55	103	1748
56	103	1720
57	104	1693
58	104	1667
59	104	1642
60	105	1617
61	105	1594
62	105	1571
63	105	1549
64	106	1527
65	106	1507
66	106	1486
67	106	1464
68	107	1445
69	107	1427
70	107	1409
71	107	1391
72	108	1374
73	108	1357
74	108	1341
75	109	1326
76	109	1310
77	109	1295
78	109	1281
79	110	1266
80	110	1253
81	110	1239
82	110	1226
83	111	1213
84	111	1198
85	111	1186
86	111	1173
87	112	1161
88	112	1149
89	112	1138
90	112	1127
91	113	1116
92	113	1106
93	113	1095
94	113	1085
95	114	1075
96	114	1065
97	114	1056
98	115	1047
99	115	1037
100	115	1028
101	115	1018
102	115	1009
103	116	1001
104	116	993
105	116	984
106	117	976
107	117	968
108	117	961
109	117	953
110	118	946
111	118	938
112	118	931
113	118	924
114	119	917
115	119	909
116	119	903
117	119	896
118	120	889
119	120	882
120	120	876
121	120	870
122	121	862
123	121	856
124	121	850
125	121	844
126	122	839
127	122	832
128	122	826
129	122	821
130	123	816
131	123	810
132	123	805
133	124	806
134	125	803
135	125	798
136	126	793
137	126	788
138	126	783
139	126	778
140	127	773
141	127	768
142	127	764
143	127	760
144	130	768
145	130	764
146	130	759
147	131	755
148	131	750
149	131	746
150	131	742
151	132	737
152	132	733
153	132	729
154	133	725
155	133	721
156	133	717
157	133	713
158	134	709
159	134	705
160	134	701
161	134	698
162	135	694
163	135	690
164	135	687
165	136	683
166	136	679
167	136	676
168	136	672
169	137	669
170	137	666
171	137	662
172	137	659
173	138	656
174	138	652
175	138	649
176	139	646
177	139	643
178	139	640
179	139	637
180	139	633
181	140	630
182	140	627
183	140	624
184	141	621
185	141	618
186	141	615
187	141	612
188	142	609
189	142	606
190	142	604
191	142	601
192	143	598
193	143	595
194	143	593
195	143	590
196	144	587
197	144	585
198	144	582
199	145	580
200	145	577
201	156	619
202	157	617
203	157	614
204	157	611
205	157	608
206	158	606
207	158	603
208	158	600
209	159	598
210	159	595
211	159	593
212	159	590
213	160	588
214	160	585
215	160	583
216	160	580
217	161	578
218	161	575
219	161	573
220	161	570
221	162	568
222	162	566
223	162	563
224	163	561
225	163	559
226	163	557
227	163	554
228	164	552
229	164	551
230	165	550
231	165	549
232	166	548
233	167	547
234	167	545
235	168	544
236	168	543
237	169	542
238	169	540
239	170	539
240	170	538
241	171	537
242	171	535
243	172	533
